Flow Duration,Flow IAT Mean,Fwd PSH Flags,Bwd Packet Length Mean,Bwd Packet Length Max,Flow Bytes/s,Down/Up Ratio,SYN Flag Count,Fwd Packet Length Mean,Fwd IAT Std,Packet Length Mean,Fwd Packet Length Max,Subflow Fwd Packets,Flow Packets/s,Total Fwd Packets,Destination Port,Label
336,336.0,0,0.0,0,35714.285,0,0,6.0,0.0,6.0,6,2,5952.381,2,80,Benign
443508,34116.0,0,719.25,2690,14250.024,1,0,94.333336,80477.34,421.33334,307,6,31.566511,6,443,Benign
46476,46476.0,0,117.0,117,3894.4832,1,0,64.0,0.0,81.666664,64,1,43.032963,1,53,Benign
4,4.0,0,6.0,6,3000000.0,1,0,6.0,0.0,6.0,6,1,500000.0,1,50254,Benign
291358,22412.154,0,83.25,501,6631.0176,1,0,211.0,43115.332,128.8,965,6,48.05085,6,443,Benign
1,1.0,0,0.0,0,12000000.0,0,0,6.0,0.0,6.0,6,2,2000000.0,2,443,Benign
47814,47814.0,0,139.0,139,4120.1323,1,0,58.0,0.0,85.0,58,1,41.828754,1,53,Benign
118502491,1742683.8,0,166.74359,1418,70.952095,1,0,63.5,15037085.0,120.11429,375,30,0.5822662,30,443,Benign
119220,119220.0,0,173.0,173,1887.2672,1,0,52.0,0.0,92.333336,52,1,16.77571,1,53,Benign
48884,16294.667,0,91.0,91,5114.148,1,0,34.0,0.0,56.8,34,2,81.82636,2,53,Benign
240,240.0,0,0.0,0,50000.0,0,0,6.0,0.0,6.0,6,2,8333.333,2,62990,Benign
61895,61895.0,0,136.0,136,2875.8381,1,0,42.0,0.0,73.333336,42,1,32.312786,1,53,Benign
208,69.333336,0,81.0,81,1182692.2,1,0,42.0,0.0,57.6,42,2,19230.77,2,53,Benign
842093,168418.6,0,68.0,68,342.00497,0,0,38.0,52228.836,46.57143,38,4,7.125104,4,53,Benign
239,119.5,0,0.0,0,0.0,2,0,0.0,0.0,0.0,0,1,12552.301,1,59492,Benign
31986,15993.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,2,93.79103,2,443,Benign
71464201,2552293.0,0,288.7857,2706,76.19199,0,0,93.46667,5047827.5,181.5,469,15,0.40579757,15,443,Benign
47416,7902.6665,0,214.5,858,27353.637,1,0,146.33333,16419.727,162.125,439,3,147.62949,3,80,Benign
49973565,9994713.0,0,82.0,106,8.124295,1,0,53.333332,33614960.0,65.28571,57,3,0.120063476,3,53,Benign
181,60.333332,0,57.0,57,1082872.9,1,0,41.0,0.0,47.4,41,2,22099.447,2,53,Benign
1824375,46778.848,0,190.58333,1430,3263.5835,1,0,86.25,197810.28,145.21951,362,16,21.925318,16,465,Benign
202,67.333336,0,90.0,90,1366336.6,1,0,48.0,0.0,64.8,48,2,19801.98,2,53,Benign
118499760,688952.06,0,0.0,0,0.0,0,0,0.0,1683874.5,0.0,0,173,1.4599186,173,0,Benign
3919820,1306606.6,0,0.0,0,3.0613651,0,0,4.0,2739345.8,2.4,6,3,1.020455,3,80,Benign
173,57.666668,0,47.0,47,901734.1,1,0,31.0,0.0,37.4,31,2,23121.387,2,53,Benign
15231,15231.0,0,6.0,6,787.8668,1,0,6.0,0.0,6.0,6,1,131.31114,1,80,Benign
2074874,138324.94,0,517.875,1448,2493.1633,1,0,128.75,486633.75,304.29413,634,8,7.711312,8,443,Benign
57510768,1513441.2,0,1073.7778,1418,352.4731,0,0,44.904762,12800000.0,506.775,693,21,0.6781339,21,443,Benign
175477,10322.177,0,451.72726,1460,34477.453,1,0,154.42857,17550.285,318.42105,501,7,102.577545,7,443,Benign
23,23.0,0,6.0,6,521739.12,1,0,6.0,0.0,6.0,6,1,86956.52,1,50977,Benign
240237,80079.0,0,6.0,6,203.96526,0,0,14.333333,118691.41,11.0,31,3,16.650225,3,54432,Benign
3098,1032.6666,0,6.0,6,15816.656,0,0,14.333333,2174.3533,11.0,31,3,1291.1556,3,55781,Benign
1,1.0,1,0.0,0,37000000.0,0,1,18.5,0.0,22.666666,31,2,2000000.0,2,51906,Benign
47041,15680.333,0,225.0,225,10969.154,1,0,33.0,0.0,109.8,33,2,85.0322,2,53,Benign
119331868,514361.5,0,1197.4149,2860,1498.6525,1,0,32.755814,8939523.0,764.2607,460,86,1.9525379,86,443,Benign
31977,4568.143,0,135.0,135,21515.465,1,0,37.0,18282.389,80.55556,37,4,250.17981,4,53,Benign
23147,23147.0,0,81.0,81,5616.279,1,0,49.0,0.0,59.666668,49,1,86.40429,1,53,Benign
31,31.0,0,6.0,6,387096.78,1,0,6.0,0.0,6.0,6,1,64516.13,1,1658,Benign
2,2.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,2,1000000.0,2,51118,Benign
115553197,3984593.0,0,127.14286,1774,19.860983,0,0,32.1875,4178795.8,74.03226,431,16,0.2596207,16,80,Benign
118433914,2819855.0,0,155.90475,1360,58.538975,0,0,166.31818,4862106.0,157.56818,2133,22,0.36307168,22,443,Benign
77570,25856.666,0,170.0,170,5208.199,1,0,32.0,0.0,87.2,32,2,51.566326,2,53,Benign
491848,24592.4,0,860.1667,2914,22147.086,1,0,63.444443,73084.73,495.13635,312,9,42.696117,9,443,Benign
111158393,3833048.0,0,144.0,1074,38.72852,1,0,143.0,3741655.2,139.06451,1034,15,0.26988515,15,443,Benign
159,159.0,0,6.0,6,75471.695,1,0,6.0,0.0,6.0,6,1,12578.616,1,443,Benign
136,45.333332,0,57.0,57,1441176.5,1,0,41.0,0.0,47.4,41,2,29411.766,2,53,Benign
900143,300047.66,0,68.0,68,235.51813,1,0,38.0,0.0,50.0,38,2,4.4437385,2,53,Benign
134,134.0,0,6.0,6,89552.24,1,0,6.0,0.0,6.0,6,1,14925.373,1,22,Benign
5673040,436387.7,0,683.1667,2149,786.8797,0,0,45.625,1990445.0,297.6,190,8,2.4678128,8,443,Benign
5091061,848510.2,0,62.666668,188,132.78175,0,0,122.0,26533.443,84.5,488,4,1.374959,4,80,Benign
118452943,4084584.2,0,367.42856,1430,53.523365,0,0,74.75,20600000.0,204.51613,521,16,0.25326514,16,443,Benign
7,7.0,0,0.0,0,1714285.8,0,0,6.0,0.0,6.0,6,2,285714.28,2,59382,Benign
84099,84099.0,0,105.0,105,1831.1752,1,0,49.0,0.0,67.666664,49,1,23.781496,1,53,Benign
163,54.333332,0,48.0,48,981595.06,1,0,32.0,0.0,38.4,32,2,24539.877,2,53,Benign
110519041,2351469.0,1,344.875,684,132.62872,1,1,265.875,5089426.5,309.87756,526,24,0.4343143,24,443,Benign
1282989,427663.0,0,103.0,113,248.63814,1,0,56.5,0.0,76.8,65,2,3.1177197,2,53,Benign
133,133.0,0,6.0,6,90225.56,1,0,6.0,0.0,6.0,6,1,15037.594,1,22,Benign
291,97.0,0,61.0,61,618556.7,1,0,29.0,0.0,41.8,29,2,13745.704,2,53,Benign
779,779.0,0,111.0,111,207958.92,1,0,51.0,0.0,71.0,51,1,2567.394,1,53,Benign
321191,14599.591,0,601.55554,1448,19546.002,0,0,61.714287,35431.105,261.58334,389,14,71.60848,14,443,Benign
204,68.0,0,55.0,55,921568.6,1,0,39.0,0.0,45.4,39,2,19607.844,2,53,Benign
187,62.333332,0,155.0,155,2106951.8,1,0,42.0,0.0,87.2,42,2,21390.375,2,53,Benign
42877851,1864254.4,0,414.63635,1418,126.49888,0,0,66.38461,4834530.5,216.96,513,13,0.5597295,13,443,Benign
161,53.666668,0,79.0,79,1378882.0,1,0,32.0,0.0,50.8,32,2,24844.72,2,53,Benign
320859,18874.059,0,1060.8182,1460,39911.613,1,0,162.42857,58424.105,674.0,1107,7,56.099407,7,80,Benign
226,75.333336,0,73.0,73,964601.75,1,0,36.0,0.0,50.8,36,2,17699.115,2,53,Benign
23714,23714.0,0,68.0,68,5060.302,1,0,52.0,0.0,57.333332,52,1,84.33836,1,53,Benign
198,66.0,0,90.0,90,1242424.2,1,0,33.0,0.0,55.8,33,2,20202.02,2,53,Benign
3,3.0,0,0.0,0,4000000.0,0,0,6.0,0.0,6.0,6,2,666666.7,2,443,Benign
146,48.666668,0,44.0,44,986301.4,1,0,28.0,0.0,34.4,28,2,27397.26,2,53,Benign
2347802,29347.525,0,193.16667,976,4096.5977,0,0,59.2,191134.84,117.29269,456,45,34.500355,45,22,Benign
3881692,776338.4,1,46.0,46,46.62915,0,1,27.0,1794235.4,32.42857,46,5,1.5457177,5,443,Benign
5217078,372648.44,0,627.6667,1460,794.1227,0,0,41.88889,1719543.4,258.9375,190,9,2.8751726,9,443,Benign
30073551,3007355.0,0,92.2,455,31.02394,0,0,78.666664,5450948.5,77.75,448,6,0.36576992,6,80,Benign
6340,6340.0,0,6.0,6,1892.7445,1,0,6.0,0.0,6.0,6,1,315.45743,1,443,Benign
117006528,1193944.1,0,1606.3673,4096,699.2943,0,0,62.2,4221290.5,818.22,625,50,0.84610665,50,443,Benign
65,65.0,0,0.0,0,184615.39,0,0,6.0,0.0,6.0,6,2,30769.23,2,80,Benign
14555,14555.0,0,0.0,0,824.4589,0,0,6.0,0.0,6.0,6,2,137.40982,2,80,Benign
17,5.6666665,0,14.333333,31,2882353.0,3,0,6.0,0.0,11.0,6,1,235294.12,1,443,Benign
3,3.0,1,0.0,0,10300000.0,0,1,15.5,0.0,20.666666,31,2,666666.7,2,55110,Benign
359,359.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,2,5571.031,2,443,Benign
23639,23639.0,0,0.0,0,0.0,1,0,0.0,0.0,0.0,0,1,84.60595,1,80,Benign
95614,31871.334,0,57.0,57,2049.909,1,0,41.0,0.0,47.4,41,2,41.834877,2,53,Benign
61,61.0,0,6.0,6,196721.31,1,0,6.0,0.0,6.0,6,1,32786.887,1,1347,Benign
802,267.33334,0,118.0,118,396508.72,1,0,41.0,0.0,71.8,41,2,4987.5312,2,53,Benign
128772,6438.6,0,709.75,1413,50313.734,0,0,61.615383,16070.547,294.5,565,13,163.07893,13,443,Benign
271302,19378.715,0,259.0,1157,7427.1475,0,0,72.0,43221.04,125.9375,469,10,55.28894,10,443,Benign
157,52.333332,0,23.0,23,585987.25,1,0,23.0,0.0,23.0,23,2,25477.707,2,53,Benign
56,28.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,2,53571.43,2,51322,Benign
105302,21060.4,0,65.0,65,2640.026,0,0,37.0,17700.707,45.0,37,4,56.978973,4,53,Benign
154,51.333332,0,49.0,49,1064935.1,1,0,33.0,0.0,39.4,33,2,25974.025,2,53,Benign
235,78.333336,0,223.0,223,2144680.8,1,0,29.0,0.0,106.6,29,2,17021.277,2,53,Benign
543731,41825.46,0,541.1429,1460,7658.1987,1,0,53.714287,52997.15,277.6,201,7,25.748026,7,443,Benign
5791048,1930349.4,0,0.0,0,2.0721638,0,0,4.0,4073196.8,2.4,6,3,0.6907213,3,80,Benign
223,74.333336,0,185.0,185,2035874.5,1,0,42.0,0.0,99.2,42,2,17937.22,2,53,Benign
4,4.0,0,0.0,0,3000000.0,0,0,6.0,0.0,6.0,6,2,500000.0,2,443,Benign
30,30.0,0,6.0,6,400000.0,1,0,6.0,0.0,6.0,6,1,66666.664,1,51123,Benign
61101,20367.0,0,346.0,346,12471.154,1,0,35.0,0.0,159.4,35,2,65.46538,2,53,Benign
67120664,1001800.94,0,980.5278,2896,542.05365,1,0,33.875,4074347.8,527.28986,368,32,1.0131009,32,443,Benign
261322,23756.545,0,630.3333,1460,15819.563,1,0,58.666668,46812.54,318.0,208,6,45.92036,6,443,Benign
31054,10351.333,0,84.0,84,7728.473,1,0,36.0,0.0,55.2,36,2,128.80788,2,53,Benign
66805,11134.167,0,566.75,2267,40356.26,1,0,143.0,23133.705,337.0,429,3,104.78258,3,80,Benign
30951,30951.0,0,61.0,61,3424.768,1,0,45.0,0.0,50.333332,45,1,64.61827,1,53,Benign
30864,10288.0,0,79.0,79,7128.0454,1,0,31.0,0.0,50.2,31,2,129.60083,2,53,Benign
195,65.0,0,108.0,108,1558974.4,1,0,44.0,0.0,69.6,44,2,20512.82,2,53,Benign
48737,48737.0,0,114.0,114,3426.5547,1,0,53.0,0.0,73.333336,53,1,41.036583,1,53,Benign
16550306,1273100.5,0,37.5,150,45.55807,0,0,60.4,2652240.5,50.266666,517,10,0.8459058,10,443,Benign
3,3.0,1,0.0,0,12333333.0,0,1,18.5,0.0,24.666666,37,2,666666.7,2,62152,Benign
23217,23217.0,0,0.0,0,0.0,1,0,0.0,0.0,0.0,0,1,86.143776,1,80,Benign
175,58.333332,0,100.0,100,1600000.0,1,0,40.0,0.0,64.0,40,2,22857.143,2,53,Benign
83505,83505.0,0,0.0,0,0.0,1,0,0.0,0.0,0.0,0,1,23.95066,1,80,Benign
176,58.666668,0,163.0,163,2613636.2,1,0,67.0,0.0,105.4,67,2,22727.273,2,53,Benign
92416613,30805538.0,0,85.0,111,2.889091,1,0,48.5,0.0,62.0,54,2,0.043282263,2,53,Benign
1183,394.33334,0,266.0,266,503803.88,1,0,32.0,0.0,125.6,32,2,3381.2341,2,53,Benign
27126,13563.0,1,6.0,6,10543.39,0,1,140.0,0.0,140.0,274,2,110.595,2,59691,Benign
169,56.333332,0,48.0,48,946745.56,1,0,32.0,0.0,38.4,32,2,23668.639,2,53,Benign
728417,145683.4,0,119.0,119,485.98535,0,0,29.0,17636.03,54.714287,29,4,8.2370405,4,53,Benign
30495,30495.0,0,179.0,179,7542.22,1,0,51.0,0.0,93.666664,51,1,65.58452,1,53,Benign
48,48.0,0,0.0,0,250000.0,0,0,6.0,0.0,6.0,6,2,41666.668,2,49480,Benign
48062,16020.667,0,115.0,115,6325.1636,1,0,37.0,0.0,68.2,37,2,83.22583,2,53,Benign
23695,7898.3335,0,109.0,109,13504.959,1,0,51.0,0.0,74.2,51,2,168.81198,2,53,Benign
31411,31411.0,0,44.0,44,2801.5664,1,0,44.0,0.0,44.0,44,1,63.671963,1,53,Benign
174,174.0,0,0.0,0,68965.516,0,0,6.0,0.0,6.0,6,2,11494.253,2,443,Benign
70,70.0,0,6.0,6,171428.58,1,0,6.0,0.0,6.0,6,1,28571.428,1,58404,Benign
61034,20344.666,0,78.0,78,3866.6973,1,0,40.0,0.0,55.2,40,2,65.53724,2,53,Benign
69103,69103.0,0,130.0,130,3009.9995,1,0,78.0,0.0,95.333336,78,1,28.942303,1,53,Benign
176,58.666668,0,60.0,60,1045454.56,1,0,32.0,0.0,43.2,32,2,22727.273,2,53,Benign
3,3.0,0,0.0,0,4000000.0,0,0,6.0,0.0,6.0,6,2,666666.7,2,443,Benign
12595411,286259.34,0,780.2273,2021,1942.3741,0,0,317.3913,223438.55,531.84784,1448,23,3.5727298,23,443,Benign
68569317,3608911.5,0,79.5,795,18.054722,1,0,44.3,5098072.5,58.95238,443,10,0.29167566,10,80,Benign
537,268.5,0,6.0,6,33519.555,0,0,6.0,0.0,6.0,6,2,5586.5923,2,58965,Benign
167864,55954.668,0,82.0,82,1346.328,1,0,31.0,0.0,51.4,31,2,23.828814,2,53,Benign
193,64.333336,0,236.0,236,2901554.5,1,0,44.0,0.0,120.8,44,2,20725.389,2,53,Benign
178,59.333332,0,53.0,53,1011235.94,1,0,37.0,0.0,43.4,37,2,22471.91,2,53,Benign
194255,13875.357,0,834.2,3810,24519.318,0,0,59.2,19937.035,297.6875,202,10,77.21809,10,443,Benign
30211,30211.0,0,75.0,75,3905.862,1,0,43.0,0.0,53.666668,43,1,66.20105,1,53,Benign
2013413,125838.31,0,87.25,187,2365.1382,0,0,451.55554,14679.77,264.55554,1194,9,8.443375,9,443,Benign
23614,23614.0,0,175.0,175,9401.203,1,0,47.0,0.0,89.666664,47,1,84.69552,1,53,Benign
60737,20245.666,0,98.0,98,4511.2534,1,0,39.0,0.0,62.6,39,2,65.85771,2,53,Benign
10099892,561105.1,0,531.7273,1460,691.69055,1,0,142.125,28234.777,349.3,517,8,1.8812082,8,443,Benign
84097,84097.0,0,48.0,48,1141.539,1,0,48.0,0.0,48.0,48,1,23.78206,1,123,Benign
115925148,2033774.5,0,694.25806,1418,194.1339,1,0,36.407406,4983580.5,381.44067,517,27,0.5003228,27,443,Benign
661779,26471.16,0,701.8182,1413,14040.941,0,0,104.8,122323.62,344.14816,1317,15,39.28804,15,443,Benign
166793,55597.668,0,139.0,139,2158.364,1,0,41.0,0.0,80.2,41,2,23.981821,2,53,Benign
3,3.0,1,0.0,0,12333333.0,0,1,18.5,0.0,24.666666,37,2,666666.7,2,49705,Benign
18,9.0,0,0.0,0,1722222.2,0,0,10.333333,8.485281,7.75,31,3,166666.67,3,55996,Benign
6070053,551823.0,0,37.6,107,92.42094,0,0,53.285713,2311976.8,43.153847,227,7,1.9769185,7,443,Benign
52,52.0,0,6.0,6,230769.23,1,0,6.0,0.0,6.0,6,1,38461.54,1,42294,Benign
50018,50018.0,0,77.0,77,2759.0068,1,0,61.0,0.0,66.333336,61,1,39.985603,1,53,Benign
24047,8015.6665,0,123.0,123,12808.251,1,0,31.0,0.0,67.8,31,2,166.34091,2,53,Benign
61,61.0,0,0.0,0,0.0,1,0,0.0,0.0,0.0,0,1,32786.887,1,35532,Benign
49481,24740.5,1,6.0,6,5779.9966,0,1,140.0,0.0,140.0,274,2,60.629333,2,59502,Benign
31524,10508.0,0,139.0,139,11166.096,1,0,37.0,0.0,77.8,37,2,126.88745,2,53,Benign
159,53.0,0,118.0,118,1962264.1,1,0,38.0,0.0,70.0,38,2,25157.232,2,53,Benign
2,1.0,0,6.0,6,6000000.0,2,0,0.0,0.0,3.0,0,1,1500000.0,1,53190,Benign
38216835,2939756.5,0,257.85715,1805,58.534412,1,0,61.714287,5485717.5,149.13333,432,7,0.3663307,7,80,Benign
60494285,3360793.5,0,114.625,879,23.192274,0,0,44.18182,5081154.0,70.15,432,11,0.31407925,11,80,Benign
145,48.333332,0,60.0,60,1434482.8,1,0,44.0,0.0,50.4,44,2,27586.207,2,53,Benign
444,222.0,0,6.0,6,40540.54,0,0,6.0,0.0,6.0,6,2,6756.757,2,7864,Benign
1,1.0,1,0.0,0,31000000.0,0,1,15.5,0.0,20.666666,31,2,2000000.0,2,37010,Benign
1,1.0,0,0.0,0,12000000.0,0,0,6.0,0.0,6.0,6,2,2000000.0,2,443,Benign
6320766,316038.3,0,518.3333,1460,1741.7192,0,0,528.6667,1604927.5,500.4091,2757,12,3.3223822,12,443,Benign
31297,10432.333,0,122.0,122,9777.295,1,0,31.0,0.0,67.4,31,2,127.80778,2,53,Benign
23525,5881.25,0,3.0,6,1020.1913,0,0,6.0,16565.39,5.0,6,3,212.53986,3,443,Benign
98693734,8224478.0,0,64.833336,371,121.42615,0,0,1656.4286,40300000.0,856.0,5792,7,0.13172062,7,35084,Benign
262647,6734.5386,0,897.4545,1430,78873.93,1,0,54.0,18536.715,505.26828,347,18,152.29567,18,443,Benign
161,53.666668,0,54.0,54,1142857.1,1,0,38.0,0.0,44.4,38,2,24844.72,2,53,Benign
474,474.0,0,124.0,124,371308.03,1,0,52.0,0.0,76.0,52,1,4219.409,1,53,Benign
120895,24179.0,0,156.0,156,3639.522,0,0,32.0,13102.387,67.42857,32,4,49.629845,4,53,Benign
1996774,166397.83,0,181.66667,953,1348.6754,0,0,229.0,15984.347,192.35715,1035,7,6.5105014,7,443,Benign
60326358,2513598.2,0,90.63636,821,32.340755,0,0,68.14286,5171996.5,75.03846,670,14,0.41441256,14,443,Benign
24024,8008.0,0,164.0,164,16650.018,1,0,36.0,0.0,87.2,36,2,166.50017,2,53,Benign
5200847,1300211.8,0,4.0,6,3.8455274,0,0,4.0,3496788.0,3.3333333,6,3,0.96138185,3,80,Benign
31122,10374.0,0,99.0,99,8482.745,1,0,33.0,0.0,59.4,33,2,128.52644,2,53,Benign
2587852,12685.549,0,1648.5,4344,71249.82,1,0,97.40404,21899.875,895.06793,368,99,79.21628,99,80,Benign
257,85.666664,0,103.0,103,1151751.0,1,0,45.0,0.0,68.2,45,2,15564.202,2,53,Benign
215,215.0,0,0.0,0,55813.953,0,0,6.0,0.0,6.0,6,2,9302.325,2,5150,Benign
160,53.333332,0,45.0,45,925000.0,1,0,29.0,0.0,35.4,29,2,25000.0,2,53,Benign
214,71.333336,0,69.0,69,990654.2,1,0,37.0,0.0,49.8,37,2,18691.588,2,53,Benign
3,3.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,2,666666.7,2,50086,Benign
206,68.666664,0,155.0,155,1912621.4,1,0,42.0,0.0,87.2,42,2,19417.477,2,53,Benign
62,62.0,0,6.0,6,193548.39,1,0,6.0,0.0,6.0,6,1,32258.064,1,1268,Benign
305,101.666664,0,279.0,279,2072131.1,1,0,37.0,0.0,133.8,37,2,13114.754,2,53,Benign
31199,10399.667,0,115.0,115,10384.948,1,0,47.0,0.0,74.2,47,2,128.20924,2,53,Benign
115959074,1900968.4,0,925.1613,2896,249.81227,1,0,9.290322,4878737.5,459.8095,288,31,0.53467137,31,80,Benign
64050288,64050290.0,1,0.0,0,1.1553422,0,1,37.0,0.0,37.0,37,2,0.031225465,2,443,Benign
128997,42999.0,0,89.0,89,1922.5254,1,0,35.0,0.0,56.6,35,2,31.008472,2,53,Benign
514614,64326.75,0,123.4,416,2961.4429,1,0,226.75,155486.06,152.4,452,4,17.488836,4,80,Benign
97,97.0,0,6.0,6,123711.34,1,0,6.0,0.0,6.0,6,1,20618.557,1,14373,Benign
118989267,3131296.5,0,126.68421,998,29.338781,0,0,54.2,4711419.0,87.275,346,20,0.32776067,20,80,Benign
5793265,579326.5,0,41.0,152,134.81172,0,0,88.14286,2333186.0,65.083336,517,7,1.8987566,7,443,Benign
182,60.666668,0,94.0,94,1516483.5,1,0,44.0,0.0,64.0,44,2,21978.021,2,53,Benign
96,96.0,0,0.0,0,0.0,1,0,0.0,0.0,0.0,0,1,20833.334,1,60087,Benign
46531146,522821.88,0,1393.4108,2920,1710.3168,1,0,45.64706,3311132.5,874.53845,684,34,1.9341884,34,80,Benign
23541,23541.0,0,111.0,111,6711.6943,1,0,47.0,0.0,68.333336,47,1,84.95816,1,53,Benign
64053225,64053224.0,1,0.0,0,1.1552892,0,1,37.0,0.0,37.0,37,2,0.031224033,2,443,Benign
253001,18071.5,0,233.4,1029,9861.621,0,0,132.8,32371.271,155.9375,1077,10,59.288303,10,443,Benign
30951,10317.0,0,99.0,99,9175.794,1,0,43.0,0.0,65.4,43,2,129.23654,2,53,Benign
123067,41022.332,0,167.0,167,3299.0159,1,0,36.0,0.0,88.4,36,2,32.50262,2,53,Benign
115821219,787899.44,0,1731.2644,4344,1317.6687,1,0,32.688526,3974173.5,1024.255,698,61,1.2778314,61,443,Benign
642378,642378.0,0,132.0,132,278.65213,1,0,47.0,0.0,75.333336,47,1,3.1134317,1,53,Benign
185,61.666668,0,77.0,77,1232432.4,1,0,37.0,0.0,53.0,37,2,21621.621,2,53,Benign
41,41.0,0,6.0,6,292682.94,1,0,6.0,0.0,6.0,6,1,48780.49,1,52705,Benign
53345,10669.0,0,96.0,96,6748.524,0,0,42.0,17888.332,57.42857,42,4,112.475395,4,53,Benign
105664,5283.2,0,549.5,1448,50253.633,0,0,70.30769,11201.791,241.36363,437,13,198.74318,13,443,Benign
3,3.0,1,0.0,0,12333333.0,0,1,18.5,0.0,24.666666,37,2,666666.7,2,55342,Benign
87374,43687.0,0,0.0,0,0.0,0,0,0.0,8862.876,0.0,0,3,34.335155,3,80,Benign
5285027,1057005.4,0,0.0,0,2.2705655,0,0,3.0,2226709.0,1.7142857,6,4,1.1352828,4,80,Benign
3,3.0,1,0.0,0,12333333.0,0,1,18.5,0.0,24.666666,37,2,666666.7,2,55301,Benign
202,67.333336,0,172.0,172,2138613.8,1,0,44.0,0.0,95.2,44,2,19801.98,2,53,Benign
72533,10361.857,0,455.8,1460,37389.88,1,0,144.33333,18973.797,301.33334,427,3,110.294624,3,80,Benign
220,73.333336,0,48.0,48,727272.75,1,0,32.0,0.0,38.4,32,2,18181.818,2,53,Benign
65424,21808.0,0,99.0,99,4340.9146,1,0,43.0,0.0,65.4,43,2,61.139645,2,53,Benign
115146337,2808447.2,0,472.75,3491,88.67846,0,0,34.363636,4989632.5,237.46512,367,22,0.36475325,22,443,Benign
30542,30542.0,0,79.0,79,4125.467,1,0,47.0,0.0,57.666668,47,1,65.4836,1,53,Benign
3,3.0,0,0.0,0,4000000.0,0,0,6.0,0.0,6.0,6,2,666666.7,2,443,Benign
115975482,172070.45,0,1907.3754,4380,6546.2456,1,0,7.1079135,1983185.0,1123.0829,320,278,5.8201957,278,80,Benign
299949,21424.928,0,233.4,1029,7677.9717,0,0,113.6,44741.65,143.9375,885,10,50.008503,10,443,Benign
74,74.0,0,0.0,0,0.0,1,0,0.0,0.0,0.0,0,1,27027.027,1,36845,Benign
615321,26753.088,0,784.7778,1730,13778.175,0,0,94.333336,99753.62,339.12,469,15,39.004032,15,443,Benign
104601,14943.0,0,159.66667,479,8269.52,0,0,77.2,28761.482,96.111115,386,5,76.4811,5,80,Benign
861587,53849.188,0,402.3,1616,6282.5923,1,0,198.57143,159148.83,300.72223,729,7,19.731031,7,443,Benign
3,3.0,1,0.0,0,12333333.0,0,1,18.5,0.0,24.666666,37,2,666666.7,2,51922,Benign
32063,10687.667,0,100.0,100,8420.921,1,0,35.0,0.0,61.0,35,2,124.75439,2,53,Benign
59202,59202.0,0,67.0,67,1993.1759,1,0,51.0,0.0,56.333332,51,1,33.782642,1,53,Benign
192,64.0,0,48.0,48,1000000.0,1,0,48.0,0.0,48.0,48,2,20833.334,2,123,Benign
